References,gal_name,gal_ra_deg,gal_dec_deg,gal_vlsr_km/s,qso_hsla_name,qso_ra_deg,qso_dec_deg,impact_para_kpc,impact_para_err,qso_hsla_snr,qso_snr_stis,gal_z,gal_dmpc,d_err,d_ref,logM*,logM*_err,M*_ref,logM200m,logM200m_err,M200m_ref,logM200c,logM200c_err,M200c_ref,logMHI,logMHI_err,MHI_ref,logSFR_flg,logSFR(Msun/yr),logSFR_err,SFR_ref,R200m_kpc,R200m_err,R200c_kpc,R200c_err,Wr_flg_HI,Wr_HI,eWr_HI,logN_flg_HI,logN_HI,elogN_HI,Wr_flg_SiII,Wr_SiII,eWr_SiII,logN_flg_SiII,logN_SiII,elogN_SiII,Wr_flg_SiIII,Wr_SiIII,eWr_SiIII,logN_flg_SiIII,logN_SiIII,elogN_SiIII,Wr_flg_SiIV,Wr_SiIV,eWr_SiIV,logN_flg_SiIV,logN_SiIV,elogN_SiIV,Wr_flg_CII,Wr_CII,eWr_CII,logN_flg_CII,logN_CII,elogN_CII,Wr_flg_CIV,Wr_CIV,eWr_CIV,logN_flg_CIV,logN_CIV,elogN_CIV,Wr_flg_OVI,Wr_OVI,eWr_OVI,logN_flg_OVI,logN_OVI,elogN_OVI
Bordoloi+2014,312_196,182.7606,36.9983,nan,SDSSJ121114.56+365739.5,182.811,36.961,90.0,nan,9.7,nan,0.023,nan,nan,,9.92,nan,Bordoloi14(Kroupa IMF),11.76,nan,M21,11.61,nan,M21,nan,nan,,=,0.3,nan,Bordoloi+2014,259.8,nan,156.3,nan,<=(1sig),13.3,nan,<=(1sig),12.39,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),29.0,nan,<=(1sig),12.87,nan,,nan,nan,,nan,nan
Bordoloi+2014,73_198,170.3623,3.4449,nan,SDSSJ112114.22+032546.7,170.3085,3.4297,89.0,nan,3.6,nan,0.023,nan,nan,,9.92,nan,Bordoloi14(Kroupa IMF),11.76,nan,M21,11.61,nan,M21,nan,nan,,=,-0.1,nan,Bordoloi+2014,259.8,nan,156.3,nan,>,547.7,85.5,>,14.22,0.07,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),44.0,nan,<=(1sig),13.15,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ161939.33+334736.1,244.9139,33.7934,nan,SDSSJ161916.54+334238.4,244.8189,33.7107,482.6,nan,11.4,nan,0.0607,nan,nan,,9.93,nan,Liang+2014(Kroupa IMF),11.77,nan,M21,11.62,nan,M21,nan,nan,,,nan,nan,Liang+2014,261.8,nan,157.5,nan,,nan,nan,,nan,nan,<=(1sig),10.0,nan,<=(1sig),11.78,nan,<=(1sig),8.0,nan,<=(1sig),11.58,nan,,nan,nan,,nan,nan,<=(1sig),9.5,nan,<=(1sig),12.67,nan,<=(1sig),10.5,nan,<=(1sig),12.42,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ161845.58+334429.6,244.6899,33.7416,nan,SDSSJ161916.54+334238.4,244.8189,33.7107,378.3,nan,11.4,nan,0.048,nan,nan,,9.93,nan,Liang+2014(Kroupa IMF),11.77,nan,M21,11.62,nan,M21,nan,nan,,,-0.15,nan,Liang+2014,261.8,nan,157.5,nan,=,100.0,12.0,=,13.26,0.05,<=(1sig),10.0,nan,<=(1sig),11.78,nan,<=(1sig),8.5,nan,<=(1sig),11.61,nan,,nan,nan,,nan,nan,<=(1sig),9.0,nan,<=(1sig),12.65,nan,<=(1sig),10.0,nan,<=(1sig),12.39,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ161704.61+415200.5,244.2692,41.8668,nan,SDSSJ161649.42+415416.3,244.2059,41.9046,251.2,nan,6.5,nan,0.0598,nan,nan,,9.93,nan,Liang+2014(Kroupa IMF),11.77,nan,M21,11.62,nan,M21,nan,nan,,,nan,nan,Liang+2014,261.8,nan,157.5,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),24.0,nan,<=(1sig),12.78,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ144653.20+402944.9,221.7217,40.4958,nan,PG1444+407,221.6914,40.5849,441.1,nan,nan,5.0,0.0697,nan,nan,,9.93,nan,Liang+2014(Kroupa IMF),11.77,nan,M21,11.62,nan,M21,nan,nan,,,nan,nan,Liang+2014,261.8,nan,157.5,nan,=,162.0,12.0,=,13.47,0.03,<=(1sig),6.0,nan,<=(1sig),11.56,nan,<=(1sig),5.5,nan,<=(1sig),11.42,nan,<=(1sig),12.0,nan,<=(1sig),12.13,nan,<=(1sig),12.0,nan,<=(1sig),12.77,nan,<=(1sig),24.0,nan,<=(1sig),12.78,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ115217.86+543913.4,178.0744,54.6537,nan,PG1148+549,177.8353,54.6259,475.3,nan,12.7,nan,0.0477,nan,nan,,9.93,nan,Liang+2014(Kroupa IMF),11.77,nan,M21,11.62,nan,M21,nan,nan,,,-0.67,nan,Liang+2014,261.8,nan,157.5,nan,=,136.0,5.0,=,13.4,0.02,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),4.0,nan,<=(1sig),11.66,nan,<=(1sig),5.0,nan,<=(1sig),12.39,nan,<=(1sig),8.5,nan,<=(1sig),12.32,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ075111.00+291450.9,117.7959,29.2475,nan,FBQS0751+2919,117.8013,29.3273,353.1,nan,9.9,nan,0.0638,nan,nan,,9.93,nan,Liang+2014(Kroupa IMF),11.77,nan,M21,11.62,nan,M21,nan,nan,,,nan,nan,Liang+2014,261.8,nan,157.5,nan,<=(1sig),5.0,nan,<=(1sig),11.96,nan,,nan,nan,,nan,nan,<=(1sig),2.5,nan,<=(1sig),11.08,nan,<=(1sig),3.5,nan,<=(1sig),11.6,nan,,nan,nan,,nan,nan,<=(1sig),6.0,nan,<=(1sig),12.17,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ083607.41+250645.7,129.0309,25.1127,nan,PG0832+251,128.8992,24.9945,283.1,nan,10.9,nan,0.0232,nan,nan,,9.93,nan,Liang+2014(Kroupa IMF),11.77,nan,M21,11.62,nan,M21,nan,nan,,,-0.29,nan,Liang+2014,261.8,nan,157.5,nan,=,160.0,13.0,=,13.47,0.04,<=(1sig),8.0,nan,<=(1sig),11.68,nan,<=(1sig),7.0,nan,<=(1sig),11.52,nan,<=(1sig),8.0,nan,<=(1sig),11.96,nan,<=(1sig),6.5,nan,<=(1sig),12.51,nan,<=(1sig),15.0,nan,<=(1sig),12.57,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ084358.51+411650.4,130.9938,41.2807,nan,SDSSJ084349.49+411741.6,130.9562,41.2949,266.2,nan,4.2,nan,0.1314,nan,nan,,10.03,nan,Liang+2014(Kroupa IMF),11.83,nan,M21,11.68,nan,M21,nan,nan,,,nan,nan,Liang+2014,274.2,nan,164.9,nan,<=(1sig),28.0,nan,<=(1sig),12.71,nan,<=(1sig),14.5,nan,<=(1sig),11.94,nan,<=(1sig),17.0,nan,<=(1sig),11.91,nan,<=(1sig),32.0,nan,<=(1sig),12.56,nan,,nan,nan,,nan,nan,<=(1sig),6.5,nan,<=(1sig),12.21,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ143441.66+355922.9,218.6736,35.9897,nan,SDSSJ143511.53+360437.2,218.798,36.077,417.9,nan,5.7,nan,0.0443,nan,nan,,10.03,nan,Liang+2014(Kroupa IMF),11.83,nan,M21,11.68,nan,M21,nan,nan,,,-0.18,nan,Liang+2014,274.2,nan,164.9,nan,,nan,nan,,nan,nan,<=(1sig),14.5,nan,<=(1sig),11.94,nan,,nan,nan,,nan,nan,<=(1sig),10.5,nan,<=(1sig),12.08,nan,,nan,nan,,nan,nan,<=(1sig),31.0,nan,<=(1sig),12.89,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ100903.67+072201.1,152.2653,7.367,nan,SDSSJ100902.06+071343.8,152.2586,7.2289,452.1,nan,5.0,nan,0.0462,nan,nan,,10.03,nan,Liang+2014(Kroupa IMF),11.83,nan,M21,11.68,nan,M21,nan,nan,,,-1.01,nan,Liang+2014,274.2,nan,164.9,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),14.5,nan,<=(1sig),12.22,nan,<=(1sig),17.5,nan,<=(1sig),12.94,nan,<=(1sig),40.0,nan,<=(1sig),13.0,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ082610.25+074420.5,126.5427,7.739,nan,SDSSJ082633.51+074248.3,126.6396,7.7134,446.0,nan,7.4,nan,0.0649,nan,nan,,10.03,nan,Liang+2014(Kroupa IMF),11.83,nan,M21,11.68,nan,M21,nan,nan,,,nan,nan,Liang+2014,274.2,nan,164.9,nan,,nan,nan,,nan,nan,<=(1sig),7.0,nan,<=(1sig),11.63,nan,<=(1sig),8.0,nan,<=(1sig),11.58,nan,<=(1sig),12.5,nan,<=(1sig),12.15,nan,<=(1sig),16.0,nan,<=(1sig),12.9,nan,<=(1sig),26.5,nan,<=(1sig),12.82,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ120427.89+275858.1,181.1163,27.9826,nan,PG1202+281,181.1755,27.9033,290.1,nan,6.4,nan,0.043,nan,nan,,10.03,nan,Liang+2014(Kroupa IMF),11.83,nan,M21,11.68,nan,M21,nan,nan,,,-0.36,nan,Liang+2014,274.2,nan,164.9,nan,=,319.0,33.0,=,13.77,0.04,<=(1sig),20.0,nan,<=(1sig),12.08,nan,<=(1sig),12.0,nan,<=(1sig),11.76,nan,<=(1sig),9.5,nan,<=(1sig),12.03,nan,<=(1sig),12.5,nan,<=(1sig),12.79,nan,<=(1sig),21.5,nan,<=(1sig),12.73,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ111252.05+353828.7,168.2169,35.6409,nan,SDSSJ111239.11+353928.2,168.163,35.6578,86.1,nan,4.8,nan,0.0253,nan,nan,,10.03,nan,Liang+2014(Kroupa IMF),11.83,nan,M21,11.68,nan,M21,nan,nan,,,-1.32,nan,Liang+2014,274.2,nan,164.9,nan,=,1012.0,30.0,=,14.27,0.01,<=(1sig),9.5,nan,<=(1sig),11.76,nan,<=(1sig),11.0,nan,<=(1sig),11.72,nan,<=(1sig),20.5,nan,<=(1sig),12.37,nan,<=(1sig),17.0,nan,<=(1sig),12.93,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ110606.70+342104.9,166.5279,34.3514,nan,HS1102+3441,166.4159,34.4263,417.0,nan,15.7,nan,0.0498,nan,nan,,10.03,nan,Liang+2014(Kroupa IMF),11.83,nan,M21,11.68,nan,M21,nan,nan,,,-0.58,nan,Liang+2014,274.2,nan,164.9,nan,<=(1sig),8.5,nan,<=(1sig),12.19,nan,,nan,nan,,nan,nan,<=(1sig),4.5,nan,<=(1sig),11.33,nan,,nan,nan,,nan,nan,<=(1sig),8.0,nan,<=(1sig),12.6,nan,<=(1sig),11.5,nan,<=(1sig),12.46,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ234502.69-005552.8,356.2612,-0.9313,nan,SDSSJ234500.43-005936.0,356.2518,-0.9934,280.6,nan,6.4,nan,0.0647,nan,nan,,10.13,nan,Liang+2014(Kroupa IMF),11.9,nan,M21,11.75,nan,M21,nan,nan,,,nan,nan,Liang+2014,289.3,nan,174.0,nan,=,1111.0,24.0,=,14.31,0.01,<=(1sig),10.5,nan,<=(1sig),11.8,nan,<=(1sig),9.5,nan,<=(1sig),11.66,nan,<=(1sig),13.0,nan,<=(1sig),12.17,nan,,nan,nan,,nan,nan,<=(1sig),26.0,nan,<=(1sig),12.81,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ112240.02+575344.2,170.6665,57.8957,nan,SDSSJ112244.89+575543.0,170.687,57.9286,107.2,nan,6.2,nan,0.0435,nan,nan,,10.13,nan,Liang+2014(Kroupa IMF),11.9,nan,M21,11.75,nan,M21,nan,nan,,,-0.1,nan,Liang+2014,289.3,nan,174.0,nan,=,986.0,18.0,=,14.26,0.01,<=(1sig),11.0,nan,<=(1sig),11.82,nan,<=(1sig),9.0,nan,<=(1sig),11.63,nan,<=(1sig),11.5,nan,<=(1sig),12.12,nan,<=(1sig),20.0,nan,<=(1sig),13.0,nan,<=(1sig),33.5,nan,<=(1sig),12.92,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ080416.19+433821.0,121.0674,43.6392,nan,SDSSJ080359.23+433258.4,120.9968,43.5496,452.1,nan,6.1,nan,0.0632,nan,nan,,10.13,nan,Liang+2014(Kroupa IMF),11.9,nan,M21,11.75,nan,M21,nan,nan,,,nan,nan,Liang+2014,289.3,nan,174.0,nan,=,1375.0,88.0,=,14.4,0.03,<=(1sig),10.0,nan,<=(1sig),11.78,nan,<=(1sig),15.0,nan,<=(1sig),11.85,nan,,nan,nan,,nan,nan,<=(1sig),16.5,nan,<=(1sig),12.91,nan,<=(1sig),27.5,nan,<=(1sig),12.83,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ101008.85+300252.5,152.5369,30.0479,nan,FBQSJ1010+3003,152.5028,30.0562,180.5,nan,15.5,nan,0.0874,nan,nan,,10.13,nan,Liang+2014(Kroupa IMF),11.9,nan,M21,11.75,nan,M21,nan,nan,,,nan,nan,Liang+2014,289.3,nan,174.0,nan,=,329.0,12.0,=,13.78,0.02,<=(1sig),6.0,nan,<=(1sig),11.56,nan,<=(1sig),7.0,nan,<=(1sig),11.52,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),15.5,nan,<=(1sig),12.59,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ110026.99+145200.9,165.1125,14.8669,nan,SDSSJ105945.23+144142.9,164.9385,14.6953,466.3,nan,9.1,nan,0.0268,nan,nan,,10.13,nan,Liang+2014(Kroupa IMF),11.9,nan,M21,11.75,nan,M21,nan,nan,,,-0.33,nan,Liang+2014,289.3,nan,174.0,nan,=,326.0,15.0,=,13.78,0.02,<=(1sig),9.5,nan,<=(1sig),11.76,nan,,nan,nan,,nan,nan,<=(1sig),11.5,nan,<=(1sig),12.12,nan,<=(1sig),11.0,nan,<=(1sig),12.74,nan,<=(1sig),18.5,nan,<=(1sig),12.66,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXiJ095002.7+390308,147.5115,39.0524,nan,SDSSJ094952.91+390203.9,147.4705,39.0344,166.4,nan,10.4,nan,0.0658,nan,nan,,10.13,nan,Liang+2014(Kroupa IMF),11.9,nan,M21,11.75,nan,M21,nan,nan,,,nan,nan,Liang+2014,289.3,nan,174.0,nan,=,165.0,12.0,=,13.48,0.03,<=(1sig),6.0,nan,<=(1sig),11.56,nan,<=(1sig),9.5,nan,<=(1sig),11.66,nan,<=(1sig),10.0,nan,<=(1sig),12.05,nan,<=(1sig),12.5,nan,<=(1sig),12.79,nan,<=(1sig),8.0,nan,<=(1sig),12.3,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ152840.62+282242.9,232.1693,28.3786,nan,TON236,232.1692,28.425,301.8,nan,18.0,nan,0.0978,nan,nan,,10.23,nan,Liang+2014(Kroupa IMF),11.97,nan,M21,11.82,nan,M21,nan,nan,,,nan,nan,Liang+2014,305.3,nan,183.6,nan,,nan,nan,,nan,nan,<=(1sig),4.5,nan,<=(1sig),11.43,nan,<=(1sig),5.0,nan,<=(1sig),11.38,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),10.0,nan,<=(1sig),12.39,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ133050.37+311529.1,202.7099,31.2582,nan,SDSSJ133053.27+311930.5,202.722,31.3252,372.3,nan,9.0,nan,0.0809,nan,nan,,10.23,nan,Liang+2014(Kroupa IMF),11.97,nan,M21,11.82,nan,M21,nan,nan,,,nan,nan,Liang+2014,305.3,nan,183.6,nan,=,200.0,15.0,=,13.56,0.03,<=(1sig),7.0,nan,<=(1sig),11.63,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),22.5,nan,<=(1sig),13.05,nan,<=(1sig),19.0,nan,<=(1sig),12.67,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXiJ110718.5+764141,166.8274,76.6949,nan,3C249.1,166.057,76.9828,424.4,nan,nan,6.0,0.0172,nan,nan,,10.23,nan,Liang+2014(Kroupa IMF),11.97,nan,M21,11.82,nan,M21,nan,nan,,,nan,nan,Liang+2014,305.3,nan,183.6,nan,,nan,nan,,nan,nan,<=(1sig),6.5,nan,<=(1sig),11.59,nan,<=(1sig),8.0,nan,<=(1sig),11.58,nan,<=(1sig),14.0,nan,<=(1sig),12.2,nan,<=(1sig),5.0,nan,<=(1sig),12.39,nan,<=(1sig),9.0,nan,<=(1sig),12.35,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ152855.84+283028.5,232.2327,28.5079,nan,TON236,232.1692,28.425,467.7,nan,18.0,nan,0.0679,nan,nan,,10.23,nan,Liang+2014(Kroupa IMF),11.97,nan,M21,11.82,nan,M21,nan,nan,,,nan,nan,Liang+2014,305.3,nan,183.6,nan,<=(1sig),10.5,nan,<=(1sig),12.29,nan,<=(1sig),5.0,nan,<=(1sig),11.48,nan,<=(1sig),6.5,nan,<=(1sig),11.49,nan,<=(1sig),4.5,nan,<=(1sig),11.71,nan,<=(1sig),7.5,nan,<=(1sig),12.57,nan,<=(1sig),10.5,nan,<=(1sig),12.42,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ112517.67+590828.8,171.3236,59.1414,nan,SBS1122+594,171.4741,59.1727,335.8,nan,10.5,nan,0.0578,nan,nan,,10.23,nan,Liang+2014(Kroupa IMF),11.97,nan,M21,11.82,nan,M21,nan,nan,,,nan,nan,Liang+2014,305.3,nan,183.6,nan,=,236.0,11.0,=,13.64,0.02,<=(1sig),6.0,nan,<=(1sig),11.56,nan,,nan,nan,,nan,nan,<=(1sig),7.0,nan,<=(1sig),11.9,nan,<=(1sig),10.0,nan,<=(1sig),12.7,nan,<=(1sig),12.5,nan,<=(1sig),12.49,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ105146.64-005512.0,162.9444,-0.92,nan,PG1049-005,162.9643,-0.8549,380.0,nan,10.5,nan,0.0824,nan,nan,,10.23,nan,Liang+2014(Kroupa IMF),11.97,nan,M21,11.82,nan,M21,nan,nan,,,nan,nan,Liang+2014,305.3,nan,183.6,nan,<=(1sig),11.5,nan,<=(1sig),12.32,nan,<=(1sig),6.0,nan,<=(1sig),11.56,nan,,nan,nan,,nan,nan,<=(1sig),9.0,nan,<=(1sig),12.01,nan,<=(1sig),16.0,nan,<=(1sig),12.9,nan,<=(1sig),10.0,nan,<=(1sig),12.39,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ072234.63+713556.3,110.6445,71.599,nan,S50716+714,110.4727,71.3434,185.9,nan,35.5,nan,0.0096,nan,nan,,10.33,nan,Liang+2014(Kroupa IMF),12.05,nan,M21,11.9,nan,M21,nan,nan,,,nan,nan,Liang+2014,324.6,nan,195.3,nan,=,448.0,6.0,=,13.92,0.01,<=(1sig),2.0,nan,<=(1sig),11.08,nan,,nan,nan,,nan,nan,<=(1sig),3.5,nan,<=(1sig),11.6,nan,<=(1sig),4.0,nan,<=(1sig),12.3,nan,<=(1sig),4.5,nan,<=(1sig),12.05,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ121109.71+365506.0,182.7905,36.9185,nan,SDSSJ121114.56+365739.5,182.8106,36.9611,240.8,nan,9.7,nan,0.0777,nan,nan,,10.33,nan,Liang+2014(Kroupa IMF),12.05,nan,M21,11.9,nan,M21,nan,nan,,,nan,nan,Liang+2014,324.6,nan,195.3,nan,=,552.0,21.0,=,14.01,0.02,<=(1sig),8.0,nan,<=(1sig),11.68,nan,<=(1sig),12.5,nan,<=(1sig),11.77,nan,<=(1sig),9.5,nan,<=(1sig),12.03,nan,<=(1sig),13.0,nan,<=(1sig),12.81,nan,<=(1sig),12.0,nan,<=(1sig),12.47,nan,,nan,nan,,nan,nan
Liang&Chen2014,[TLS98]J182202.65+642139.3,275.5108,64.3608,nan,H1821+643,275.4888,64.3434,156.1,nan,0.0,11.0,0.1215,nan,nan,,10.33,nan,Liang+2014(Kroupa IMF),12.05,nan,M21,11.9,nan,M21,nan,nan,,,nan,nan,Liang+2014,324.6,nan,195.3,nan,=,677.0,15.0,=,14.09,0.01,<=(1sig),3.5,nan,<=(1sig),11.32,nan,<=(1sig),3.5,nan,<=(1sig),11.22,nan,<=(1sig),4.0,nan,<=(1sig),11.66,nan,<=(1sig),6.0,nan,<=(1sig),12.47,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ100521.89+013147.0,151.3412,1.5298,nan,SDSSJ100535.24+013445.7,151.3968,1.5794,495.7,nan,10.5,nan,0.1003,nan,nan,,10.33,nan,Liang+2014(Kroupa IMF),12.05,nan,M21,11.9,nan,M21,nan,nan,,,nan,nan,Liang+2014,324.6,nan,195.3,nan,=,1397.0,13.0,=,14.41,0.0,<=(1sig),5.5,nan,<=(1sig),11.52,nan,<=(1sig),6.0,nan,<=(1sig),11.46,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ112250.97+575335.0,170.7124,57.8931,nan,SDSSJ112244.89+575543.0,170.687,57.9286,275.5,nan,6.2,nan,0.1103,nan,nan,,10.33,nan,Liang+2014(Kroupa IMF),12.05,nan,M21,11.9,nan,M21,nan,nan,,,nan,nan,Liang+2014,324.6,nan,195.3,nan,=,435.0,18.0,=,13.9,0.02,<=(1sig),12.5,nan,<=(1sig),11.88,nan,<=(1sig),9.5,nan,<=(1sig),11.66,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),27.0,nan,<=(1sig),12.83,nan,,nan,nan,,nan,nan
Liang&Chen2014,GALEXASCJ040743.80-121210.2,61.9329,-12.2025,nan,PKS0405-123,61.9518,-12.1935,195.6,nan,45.3,48.0,0.1524,nan,nan,,10.33,nan,Liang+2014(Kroupa IMF),12.05,nan,M21,11.9,nan,M21,nan,nan,,,nan,nan,Liang+2014,324.6,nan,195.3,nan,=,420.0,5.0,=,13.89,0.01,<=(1sig),1.0,nan,<=(1sig),10.78,nan,<=(1sig),0.5,nan,<=(1sig),10.38,nan,<=(1sig),3.5,nan,<=(1sig),11.6,nan,<=(1sig),2.0,nan,<=(1sig),12.0,nan,<=(1sig),6.0,nan,<=(1sig),12.17,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ141925.48+420609.1,214.8562,42.1025,nan,SDSSJ141910.20+420746.9,214.7925,42.1297,370.2,nan,5.7,nan,0.1027,nan,nan,,10.33,nan,Liang+2014(Kroupa IMF),12.05,nan,M21,11.9,nan,M21,nan,nan,,,nan,nan,Liang+2014,324.6,nan,195.3,nan,=,711.0,38.0,=,14.12,0.02,<=(1sig),11.0,nan,<=(1sig),11.82,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ170522.10+604207.5,256.342,60.7022,nan,3C351,256.1724,60.7418,489.7,nan,nan,5.0,0.0783,nan,nan,,10.33,nan,Liang+2014(Kroupa IMF),12.05,nan,M21,11.9,nan,M21,nan,nan,,,nan,nan,Liang+2014,324.6,nan,195.3,nan,=,24.0,7.0,=,12.64,0.13,<=(1sig),5.5,nan,<=(1sig),11.52,nan,<=(1sig),5.5,nan,<=(1sig),11.42,nan,<=(1sig),14.0,nan,<=(1sig),12.2,nan,<=(1sig),9.0,nan,<=(1sig),12.65,nan,<=(1sig),8.5,nan,<=(1sig),12.32,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ133027.09+311632.4,202.6127,31.2757,nan,SDSSJ133053.27+311930.5,202.722,31.3252,289.9,nan,9.0,nan,0.0384,nan,nan,,10.33,nan,Liang+2014(Kroupa IMF),12.05,nan,M21,11.9,nan,M21,nan,nan,,,-0.2,nan,Liang+2014,324.6,nan,195.3,nan,=,291.0,13.0,=,13.73,0.02,<=(1sig),8.5,nan,<=(1sig),11.71,nan,<=(1sig),6.5,nan,<=(1sig),11.49,nan,<=(1sig),8.5,nan,<=(1sig),11.98,nan,<=(1sig),13.0,nan,<=(1sig),12.81,nan,<=(1sig),15.5,nan,<=(1sig),12.59,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ112302.70+575523.5,170.7612,57.9232,nan,SDSSJ112244.89+575543.0,170.687,57.9286,212.7,nan,6.2,nan,0.0785,nan,nan,,10.33,nan,Liang+2014(Kroupa IMF),12.05,nan,M21,11.9,nan,M21,nan,nan,,,nan,nan,Liang+2014,324.6,nan,195.3,nan,=,326.0,22.0,=,13.78,0.03,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),17.5,nan,<=(1sig),12.3,nan,<=(1sig),34.5,nan,<=(1sig),13.23,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ134208.21+382440.0,205.5343,38.4112,nan,SDSSJ134231.22+382903.4,205.6302,38.4844,474.3,nan,9.9,nan,0.0655,nan,nan,,10.33,nan,Liang+2014(Kroupa IMF),12.05,nan,M21,11.9,nan,M21,nan,nan,,,nan,nan,Liang+2014,324.6,nan,195.3,nan,<=(1sig),19.0,nan,<=(1sig),12.54,nan,<=(1sig),7.5,nan,<=(1sig),11.66,nan,<=(1sig),10.5,nan,<=(1sig),11.7,nan,<=(1sig),10.0,nan,<=(1sig),12.05,nan,<=(1sig),7.0,nan,<=(1sig),12.54,nan,<=(1sig),15.0,nan,<=(1sig),12.57,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ124438.60+335800.9,191.1608,33.9669,nan,SDSSJ124511.25+335610.1,191.2969,33.9361,350.9,nan,5.8,nan,0.0422,nan,nan,,10.33,nan,Liang+2014(Kroupa IMF),12.05,nan,M21,11.9,nan,M21,nan,nan,,,-0.64,nan,Liang+2014,324.6,nan,195.3,nan,=,419.0,17.0,=,13.89,0.02,<=(1sig),10.0,nan,<=(1sig),11.78,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),18.5,nan,<=(1sig),12.96,nan,<=(1sig),21.5,nan,<=(1sig),12.73,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ140916.38+262444.2,212.3183,26.4123,nan,PG1407+265,212.3496,26.3059,431.8,nan,7.9,nan,0.0561,nan,nan,,10.33,nan,Liang+2014(Kroupa IMF),12.05,nan,M21,11.9,nan,M21,nan,nan,,,nan,nan,Liang+2014,324.6,nan,195.3,nan,=,204.0,3.0,=,13.57,0.01,<=(1sig),2.5,nan,<=(1sig),11.18,nan,,nan,nan,,nan,nan,<=(1sig),3.5,nan,<=(1sig),11.6,nan,,nan,nan,,nan,nan,<=(1sig),5.5,nan,<=(1sig),12.14,nan,,nan,nan,,nan,nan
